Geo Point;Geo Shape;CODICE VIA;DENOMINAZIONE;Tipologia area verde
44.49494913648133, 11.355456298206477;"{""coordinates"": [11.355456298206477, 44.49494913648133], ""type"": ""Point""}";17720;GIARDINO DON TULLIO CONTIERO;GIARDINO
44.49195641018868, 11.345277193113121;"{""coordinates"": [11.345277193113121, 44.49195641018868], ""type"": ""Point""}";38740;GIARDINO DI PIAZZA MARCO MINGHETTI;GIARDINO
44.497510160593556, 11.338426926282517;"{""coordinates"": [11.338426926282517, 44.497510160593556], ""type"": ""Point""}";46170;GIARDINO SALVATORE PINCHERLE;GIARDINO
44.4877550749134, 11.357300001974403;"{""coordinates"": [11.357300001974403, 44.4877550749134], ""type"": ""Point""}";13090;GIARDINO DI CASA CARDUCCI;GIARDINO
44.49958697519417, 11.336726838178278;"{""coordinates"": [11.336726838178278, 44.49958697519417], ""type"": ""Point""}";59680;PARCO 11 SETTEMBRE 2001;PARCO
44.50195424494683, 11.346274712231706;"{""coordinates"": [11.346274712231706, 44.50195424494683], ""type"": ""Point""}";39390;GIARDINO DELLA MONTAGNOLA;GIARDINO
44.488467921721565, 11.354681772106474;"{""coordinates"": [11.354681772106474, 44.488467921721565], ""type"": ""Point""}";29895;GIARDINO MIRAN HROVATIN;GIARDINO
44.48757567433735, 11.344322777975282;"{""coordinates"": [11.344322777975282, 44.48757567433735], ""type"": ""Point""}";3690;GIARDINO SALVO D'ACQUISTO;GIARDINO
44.490939509422, 11.343925636446235;"{""coordinates"": [11.343925636446235, 44.490939509422], ""type"": ""Point""}";15510;GIARDINO DI PIAZZA CAVOUR;GIARDINO
44.49959212165458, 11.330745600714302;"{""coordinates"": [11.330745600714302, 44.49959212165458], ""type"": ""Point""}";19320;GIARDINO DECORATO VALORE CIVILE;GIARDINO
44.49647582447766, 11.330592578122717;"{""coordinates"": [11.330592578122717, 44.49647582447766], ""type"": ""Point""}";8510;GIARDINO OTELLO BIGNAMI;GIARDINO
44.50109118972105, 11.33091869320405;"{""coordinates"": [11.33091869320405, 44.50109118972105], ""type"": ""Point""}";13910;GIARDINO STEFANO CASAGRANDE;GIARDINO
44.49194880850652, 11.34857987068702;"{""coordinates"": [11.34857987068702, 44.49194880850652], ""type"": ""Point""}";120;GIARDINO CLAUDIO ABBADO;GIARDINO
44.490262778950466, 11.3303266584927;"{""coordinates"": [11.3303266584927, 44.490262778950466], ""type"": ""Point""}";24510;GIARDINO ENA FRAZZONI;GIARDINO
44.487090507973356, 11.357355154180585;"{""coordinates"": [11.357355154180585, 44.487090507973356], ""type"": ""Point""}";15755;GIARDINO ISABELLA CEOLA;GIARDINO
44.50451760904234, 11.342603648648401;"{""coordinates"": [11.342603648648401, 44.50451760904234], ""type"": ""Point""}";1990;GIARDINO GIORGIO AMENDOLA;GIARDINO
44.48540620491991, 11.354131692313484;"{""coordinates"": [11.354131692313484, 44.48540620491991], ""type"": ""Point""}";61280;GIARDINO SANTA TERESA VERZERI;GIARDINO
44.502233428537046, 11.336494524700754;"{""coordinates"": [11.336494524700754, 44.502233428537046], ""type"": ""Point""}";15270;GIARDINO DEL CAVATICCIO;GIARDINO
44.50429940376534, 11.337850068237413;"{""coordinates"": [11.337850068237413, 44.50429940376534], ""type"": ""Point""}";22080;GIARDINO GRAZIELLA FAVA;GIARDINO
44.48822262823512, 11.355799659507934;"{""coordinates"": [11.355799659507934, 44.48822262823512], ""type"": ""Point""}";23340;GIARDINO LAVINIA FONTANA;GIARDINO
44.50216033770568, 11.335513429438233;"{""coordinates"": [11.335513429438233, 44.50216033770568], ""type"": ""Point""}";30610;GIARDINO JOHN KLEMLEN;GIARDINO
44.48990503845443, 11.344809002759876;"{""coordinates"": [11.344809002759876, 44.48990503845443], ""type"": ""Point""}";25955;GIARDINO DINO GAVINA;GIARDINO
44.497356523184614, 11.350195378903825;"{""coordinates"": [11.350195378903825, 44.497356523184614], ""type"": ""Point""}";29390;GIARDINO DEL GUASTO;GIARDINO
