CIVKEY;QUARTIERE;Indirizzo scuola;Geo Point;Geo Shape;NOME;GESTIONE;SERVIZIO;ISTITUZIONE_SCOLASTICA;CIVICO;SUBCIV;COD VIA;ANNO SCOLASTICO;GEO_ID;area statistica
500000005050;Porto - Saragozza;VIA DEL RICCIO;44.49115432071788, 11.336888530960552;"{""coordinates"": [11.336888530960552, 44.49115432071788], ""type"": ""Point""}";LAURA BASSI (SEDE DISTACCATA) - LICEO MUSICALE LUCIO DALLA;STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;LAURA BASSI;5;5;50000;2024-2025;364;MALPIGHI-2
037500055000;Porto - Saragozza;VIA D'AZEGLIO;44.48818856479583, 11.339576848718103;"{""coordinates"": [11.339576848718103, 44.48818856479583], ""type"": ""Point""}";COLLEGIO SAN LUIGI;PRIVATA PARITARIA;SCUOLA SECONDARIA DI SECONDO GRADO;COLLEGIO SAN LUIGI;55;;3750;2024-2025;349;MALPIGHI-2
352000040000;Porto - Saragozza;VIA GUGLIELMO MARCONI;44.50130109386025, 11.339325405243633;"{""coordinates"": [11.339325405243633, 44.50130109386025], ""type"": ""Point""}";ALDROVANDI RUBBIANI (SEDE CENTRALE);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;ALDROVANDI RUBBIANI;40;;35200;2024-2025;350;MARCONI-2
372000001000;Santo Stefano;VIA DE' MATTUIANI;44.48907279059153, 11.342427660536588;"{""coordinates"": [11.342427660536588, 44.48907279059153], ""type"": ""Point""}";TOVAGLIE;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;1;;37200;2024-2025;314;GALVANI-2
30400000202A;Santo Stefano;VIA IRNERIO;44.50302319738268, 11.346214030927708;"{""coordinates"": [11.346214030927708, 44.50302319738268], ""type"": ""Point""}";GIACCAGLIA BETTI;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;2;2A;30400;2024-2025;309;IRNERIO-2
07600000500C;Santo Stefano;VIA DEI BERSAGLIERI;44.49052319549023, 11.352837503393575;"{""coordinates"": [11.352837503393575, 44.49052319549023], ""type"": ""Point""}";EDUCARE E CRESCERE;PRIVATA CONVENZIONATA;NIDO D'INFANZIA;EDUCARE E CRESCERE;5;C;7600;2024-2025;319;GALVANI-2
147000038000;Santo Stefano;VIA CASTIGLIONE;44.48924829051044, 11.347457776801386;"{""coordinates"": [11.347457776801386, 44.48924829051044], ""type"": ""Point""}";GALVANI (SEDE CENTRALE);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;GALVANI;38;;14700;2024-2025;338;GALVANI-2
529500009000;Porto - Saragozza;VIA SARAGOZZA;44.49040092710392, 11.336597967096592;"{""coordinates"": [11.336597967096592, 44.49040092710392], ""type"": ""Point""}";CRESCENZI PACINOTTI SIRANI;STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;CRESCENZI PACINOTTI SIRANI;9;;52950;2024-2025;346;MALPIGHI-2
138000009000;Santo Stefano;VIA CARTOLERIA;44.489345840043974, 11.348740694519257;"{""coordinates"": [11.348740694519257, 44.489345840043974], ""type"": ""Point""}";ARCANGELI - CENTRO DIDATTICA DELLE ARTI (2006);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;ARCANGELI;9;;13800;2024-2025;373;GALVANI-2
415000049020;Porto - Saragozza;VIA NOSADELLA;44.49108182762096, 11.334621083683025;"{""coordinates"": [11.334621083683025, 44.49108182762096], ""type"": ""Point""}";IL CAVALLINO A DONDOLO;PRIVATA CONVENZIONATA;NIDO D'INFANZIA;IL CAVALLINO A DONDOLO;49;2;41500;2024-2025;288;MALPIGHI-2
039000063000;Porto - Saragozza;VIA AZZO GARDINO;44.501808402006816, 11.33571705378251;"{""coordinates"": [11.33571705378251, 44.501808402006816], ""type"": ""Point""}";MAGO MERLINO;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;63;;3900;2024-2025;57;MARCONI-2
443500005000;Santo Stefano;VIA GIOVANNI PASCOLI;44.48556063636361, 11.35027818378199;"{""coordinates"": [11.35027818378199, 44.48556063636361], ""type"": ""Point""}";ROLANDINO DE PASSEGGERI;STATALE;SCUOLA SECONDARIA DI PRIMO GRADO;ISTITUTO COMPRENSIVO N. 20;5;;44350;2024-2025;213;GALVANI-2
088500010000;Santo Stefano;VICOLO BOLOGNETTI;44.492914057541, 11.354171926125153;"{""coordinates"": [11.354171926125153, 44.492914057541], ""type"": ""Point""}";GUIDO RENI;STATALE;SCUOLA SECONDARIA DI PRIMO GRADO;ISTITUTO COMPRENSIVO N. 16;10;;8850;2024-2025;217;IRNERIO-2
435500006000;Porto - Saragozza;VIA PALESTRO;44.48977434944751, 11.337596016379136;"{""coordinates"": [11.337596016379136, 44.48977434944751], ""type"": ""Point""}";SANT'ALBERTO MAGNO;PRIVATA PARITARIA;SCUOLA SECONDARIA DI PRIMO GRADO;SANT'ALBERTO MAGNO;6;;43550;2024-2025;234;MALPIGHI-2
039000063000;Porto - Saragozza;VIA AZZO GARDINO;44.501808402006816, 11.33571705378251;"{""coordinates"": [11.33571705378251, 44.501808402006816], ""type"": ""Point""}";VIGANÒ;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;63;;3900;2024-2025;282;MARCONI-2
252500001000;Santo Stefano;MURA DI PORTA GALLIERA;44.50291992873153, 11.34980124342299;"{""coordinates"": [11.34980124342299, 44.50291992873153], ""type"": ""Point""}";ERCOLANI;STATALE;SCUOLA PRIMARIA;ISTITUTO COMPRENSIVO N. 06;1;;25250;2024-2025;159;IRNERIO-2
141000011030;Porto - Saragozza;VIA CA' SELVATICA;44.49282036705703, 11.333432920615621;"{""coordinates"": [11.333432920615621, 44.49282036705703], ""type"": ""Point""}";ANNA SERRA PLESSO 1;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;11;3;14100;2024-2025;29;MALPIGHI-2
385000003010;Porto - Saragozza;VIA MILAZZO;44.50319772435913, 11.343307178146729;"{""coordinates"": [11.343307178146729, 44.50319772435913], ""type"": ""Point""}";DE AMICIS;STATALE;SCUOLA DELL'INFANZIA;ISTITUTO COMPRENSIVO N. 18;3;1;38500;2024-2025;113;MARCONI-2
304000002020;Santo Stefano;VIA IRNERIO;44.503085858139215, 11.346064963263483;"{""coordinates"": [11.346064963263483, 44.503085858139215], ""type"": ""Point""}";BETTI - PLESSO 2;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;2;2;30400;2024-2025;65;IRNERIO-2
304000002020;Santo Stefano;VIA IRNERIO;44.503085858139215, 11.346064963263483;"{""coordinates"": [11.346064963263483, 44.503085858139215], ""type"": ""Point""}";BETTI - PLESSO 3;COMUNALE;SCUOLA DELL'INFANZIA;COMUNE DI BOLOGNA;2;2;30400;2024-2025;66;IRNERIO-2
092000005000;Santo Stefano;VICOLO BORCHETTA;44.492110310418575, 11.35559005063417;"{""coordinates"": [11.35559005063417, 44.492110310418575], ""type"": ""Point""}";IL GIARDINO SEGRETO;PRIVATA CONVENZIONATA;NIDO D'INFANZIA;IL GIARDINO SEGRETO;5;;9200;2024-2025;318;IRNERIO-2
435500006000;Porto - Saragozza;VIA PALESTRO;44.48977434944751, 11.337596016379136;"{""coordinates"": [11.337596016379136, 44.48977434944751], ""type"": ""Point""}";SANT'ALBERTO MAGNO;PRIVATA PARITARIA;SCUOLA PRIMARIA;SANT'ALBERTO MAGNO;6;;43550;2024-2025;196;MALPIGHI-2
532000018000;Porto - Saragozza;VIA NAZARIO SAURO;44.49691320089008, 11.339301245225862;"{""coordinates"": [11.339301245225862, 44.49691320089008], ""type"": ""Point""}";MINGHETTI (SEDE CENTRALE);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;MINGHETTI;18;;53200;2024-2025;352;MARCONI-1
388000017000;Porto - Saragozza;VIA DON GIOVANNI MINZONI;44.50314538599104, 11.336005098098578;"{""coordinates"": [11.336005098098578, 44.50314538599104], ""type"": ""Point""}";GALVANI (SEDE DISTACCATA);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;GALVANI;17;;38800;2024-2025;361;MARCONI-2
573500004000;Porto - Saragozza;VIA DEI TESSITORI;44.48964390386821, 11.335978389475923;"{""coordinates"": [11.335978389475923, 44.48964390386821], ""type"": ""Point""}";AQUILONE;COMUNALE;NIDO D'INFANZIA;COMUNE DI BOLOGNA;4;;57350;2024-2025;276;MALPIGHI-2
42300003205A;Santo Stefano;VIA ORFEO;44.486756361544266, 11.350940947119344;"{""coordinates"": [11.350940947119344, 44.486756361544266], ""type"": ""Point""}";LA TORTA IN CIELO;PRIVATA;NIDO D'INFANZIA;LA TORTA IN CIELO;32;5A;42300;2024-2025;317;GALVANI-2
103500048000;Santo Stefano;VIA BROCCAINDOSSO;44.49338847743468, 11.35536284172831;"{""coordinates"": [11.35536284172831, 44.49338847743468], ""type"": ""Point""}";LAURA BASSI (SEDE DISTACCATA);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;LAURA BASSI;48;;10350;2024-2025;340;IRNERIO-2
449500003000;Porto - Saragozza;VIALE CARLO PEPOLI;44.49177861104734, 11.32954359994086;"{""coordinates"": [11.32954359994086, 44.49177861104734], ""type"": ""Point""}";RIGHI (SEDE CENTRALE);STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;RIGHI;3;;44950;2024-2025;342;MALPIGHI-2
615500019000;Porto - Saragozza;VIALE GIOVANNI VICINI;44.49801199689685, 11.327565289141692;"{""coordinates"": [11.327565289141692, 44.49801199689685], ""type"": ""Point""}";CPIA 2;STATALE;SCUOLA SECONDARIA DI SECONDO GRADO;;19;;61550;2024-2025;374;MALPIGHI-2
